Year,Scenario_ID,Model,Scenario,Region,Variable,Unit,Value,Variable_clean,Variable_standardized
2095,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,179.82085,secondary energy|electricity,Electricity
2100,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity,EJ/yr,199.6406,secondary energy|electricity,Electricity
2010,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,38.1892,secondary energy|electricity,Electricity
2015,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,36.9369,secondary energy|electricity,Electricity
2020,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,38.1319,secondary energy|electricity,Electricity
2025,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,38.2028,secondary energy|electricity,Electricity
2030,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,44.2815,secondary energy|electricity,Electricity
2035,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,54.4863,secondary energy|electricity,Electricity
2040,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,66.1395,secondary energy|electricity,Electricity
2045,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,75.0739,secondary energy|electricity,Electricity
2050,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,80.9089999999999,secondary energy|electricity,Electricity
2055,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,84.6366999999999,secondary energy|electricity,Electricity
2060,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,87.2417,secondary energy|electricity,Electricity
2065,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,90.384,secondary energy|electricity,Electricity
2070,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,93.5263,secondary energy|electricity,Electricity
2075,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,96.56115,secondary energy|electricity,Electricity
2080,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,99.596,secondary energy|electricity,Electricity
2085,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,103.22385,secondary energy|electricity,Electricity
2090,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,106.8517,secondary energy|electricity,Electricity
2095,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,113.56395,secondary energy|electricity,Electricity
2100,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity,EJ/yr,120.2762,secondary energy|electricity,Electricity
2010,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,5.1209,secondary energy|electricity,Electricity
2015,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,5.3649,secondary energy|electricity,Electricity
2020,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,5.80049999999999,secondary energy|electricity,Electricity
2025,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,5.8124,secondary energy|electricity,Electricity
2030,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,6.0224,secondary energy|electricity,Electricity
2035,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,6.4949,secondary energy|electricity,Electricity
2040,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,7.8533,secondary energy|electricity,Electricity
2045,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,10.0543,secondary energy|electricity,Electricity
2050,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,11.674,secondary energy|electricity,Electricity
2055,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,12.6942,secondary energy|electricity,Electricity
2060,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,13.2337,secondary energy|electricity,Electricity
2065,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,13.61575,secondary energy|electricity,Electricity
2070,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,13.9978,secondary energy|electricity,Electricity
2075,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,14.15465,secondary energy|electricity,Electricity
2080,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,14.3115,secondary energy|electricity,Electricity
2085,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,14.73375,secondary energy|electricity,Electricity
2090,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,15.156,secondary energy|electricity,Electricity
2095,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,17.606650000000002,secondary energy|electricity,Electricity
2100,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Russia and Central Asia,Secondary Energy|Electricity,EJ/yr,20.0573,secondary energy|electricity,Electricity
2010,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,78.1606,secondary energy|electricity,Electricity
2015,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,87.6688,secondary energy|electricity,Electricity
2020,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,100.0135,secondary energy|electricity,Electricity
2025,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,110.8906,secondary energy|electricity,Electricity
2030,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,134.9742,secondary energy|electricity,Electricity
2035,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,166.721,secondary energy|electricity,Electricity
2040,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,208.9018,secondary energy|electricity,Electricity
2045,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,255.5171,secondary energy|electricity,Electricity
2050,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,297.094,secondary energy|electricity,Electricity
2055,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,336.3739,secondary energy|electricity,Electricity
2060,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,372.706,secondary energy|electricity,Electricity
2065,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,408.54255,secondary energy|electricity,Electricity
2070,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,444.3791,secondary energy|electricity,Electricity
2075,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,477.86465,secondary energy|electricity,Electricity
2080,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,511.3502,secondary energy|electricity,Electricity
2085,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,543.1637499999999,secondary energy|electricity,Electricity
2090,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,574.9773,secondary energy|electricity,Electricity
2095,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,613.36225,secondary energy|electricity,Electricity
2100,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,World,Secondary Energy|Electricity,EJ/yr,651.7472,secondary energy|electricity,Electricity
2010,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2.6737,secondary energy|electricity|gas,Electricity|Gas
2015,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,3.7275,secondary energy|electricity|gas,Electricity|Gas
2020,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,5.7862,secondary energy|electricity|gas,Electricity|Gas
2025,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,11.6477,secondary energy|electricity|gas,Electricity|Gas
2030,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,16.2020999999999,secondary energy|electricity|gas,Electricity|Gas
2035,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,11.6542,secondary energy|electricity|gas,Electricity|Gas
2040,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,8.4269,secondary energy|electricity|gas,Electricity|Gas
2045,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,5.5605,secondary energy|electricity|gas,Electricity|Gas
2050,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,3.009,secondary energy|electricity|gas,Electricity|Gas
2055,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2.2199,secondary energy|electricity|gas,Electricity|Gas
2060,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2.2441,secondary energy|electricity|gas,Electricity|Gas
2065,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2.1784,secondary energy|electricity|gas,Electricity|Gas
2070,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,2.1127,secondary energy|electricity|gas,Electricity|Gas
2075,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,1.865549999999995,secondary energy|electricity|gas,Electricity|Gas
2080,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,1.61839999999999,secondary energy|electricity|gas,Electricity|Gas
2085,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,1.242599999999995,secondary energy|electricity|gas,Electricity|Gas
2090,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.8668,secondary energy|electricity|gas,Electricity|Gas
2095,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.5742,secondary energy|electricity|gas,Electricity|Gas
2100,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Asia,Secondary Energy|Electricity|Gas,EJ/yr,0.2816,secondary energy|electricity|gas,Electricity|Gas
2010,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,1.1167,secondary energy|electricity|gas,Electricity|Gas
2015,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,1.2919,secondary energy|electricity|gas,Electricity|Gas
2020,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,1.4196,secondary energy|electricity|gas,Electricity|Gas
2025,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.9434,secondary energy|electricity|gas,Electricity|Gas
2030,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.3843,secondary energy|electricity|gas,Electricity|Gas
2035,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.0513,secondary energy|electricity|gas,Electricity|Gas
2040,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.118,secondary energy|electricity|gas,Electricity|Gas
2045,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.1999,secondary energy|electricity|gas,Electricity|Gas
2050,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.2775,secondary energy|electricity|gas,Electricity|Gas
2055,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.3468,secondary energy|electricity|gas,Electricity|Gas
2060,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.3939,secondary energy|electricity|gas,Electricity|Gas
2065,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.37605,secondary energy|electricity|gas,Electricity|Gas
2070,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.3582,secondary energy|electricity|gas,Electricity|Gas
2075,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.2775,secondary energy|electricity|gas,Electricity|Gas
2080,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.1968,secondary energy|electricity|gas,Electricity|Gas
2085,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.12455,secondary energy|electricity|gas,Electricity|Gas
2090,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.0523,secondary energy|electricity|gas,Electricity|Gas
2095,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.02615,secondary energy|electricity|gas,Electricity|Gas
2100,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Latin America,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2010,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,3.2194,secondary energy|electricity|gas,Electricity|Gas
2015,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,4.4064,secondary energy|electricity|gas,Electricity|Gas
2020,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,5.4379,secondary energy|electricity|gas,Electricity|Gas
2025,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,5.837,secondary energy|electricity|gas,Electricity|Gas
2030,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,5.0416,secondary energy|electricity|gas,Electricity|Gas
2035,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,2.0943,secondary energy|electricity|gas,Electricity|Gas
2040,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.371299999999999,secondary energy|electricity|gas,Electricity|Gas
2045,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.2326,secondary energy|electricity|gas,Electricity|Gas
2050,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.098899999999999,secondary energy|electricity|gas,Electricity|Gas
2055,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.0128,secondary energy|electricity|gas,Electricity|Gas
2060,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.0015,secondary energy|electricity|gas,Electricity|Gas
2065,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.0009,secondary energy|electricity|gas,Electricity|Gas
2070,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.0003,secondary energy|electricity|gas,Electricity|Gas
2075,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.00015,secondary energy|electricity|gas,Electricity|Gas
2080,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2085,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2090,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2095,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2100,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,Middle East and Africa,Secondary Energy|Electricity|Gas,EJ/yr,0.0,secondary energy|electricity|gas,Electricity|Gas
2010,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,9.0098,secondary energy|electricity|gas,Electricity|Gas
2015,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,10.4958,secondary energy|electricity|gas,Electricity|Gas
2020,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,11.9866,secondary energy|electricity|gas,Electricity|Gas
2025,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,10.9746,secondary energy|electricity|gas,Electricity|Gas
2030,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,5.0641,secondary energy|electricity|gas,Electricity|Gas
2035,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,1.3498,secondary energy|electricity|gas,Electricity|Gas
2040,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,0.8995,secondary energy|electricity|gas,Electricity|Gas
2045,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,0.8864,secondary energy|electricity|gas,Electricity|Gas
2050,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,0.8845,secondary energy|electricity|gas,Electricity|Gas
2055,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,0.8406,secondary energy|electricity|gas,Electricity|Gas
2060,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,0.7028,secondary energy|electricity|gas,Electricity|Gas
2065,REMIND 2.1 - R2p1_SSP2-PkBudg900,REMIND 2.1,R2p1_SSP2-PkBudg900,OECD Countries,Secondary Energy|Electricity|Gas,EJ/yr,0.5466499999999995,secondary energy|electricity|gas,Electricity|Gas
